period,flow,code,description,unit,quantity_mo_reported,quantity_ytd_reported,quantity_mo_grams,quantity_ytd_grams,value_mo_usd,value_ytd_usd,source_url,quantity_suppressed
1995-10,general_import,7106,"Silver, unwrought/semimanufactured/powder",component grams,246466672,2491716194,246466672,2491716194,,,https://dataweb.usitc.gov/,False
1995-10,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,4892879,121930898,4892879,121930898,,,https://dataweb.usitc.gov/,False
1995-10,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,362053093,3428318586,362053093,3428318586,,,https://dataweb.usitc.gov/,False
1995-11,general_import,7106,"Silver, unwrought/semimanufactured/powder",component grams,293380960,2785097154,293380960,2785097154,,,https://dataweb.usitc.gov/,False
1995-11,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,19248159,141179057,19248159,141179057,,,https://dataweb.usitc.gov/,False
1995-11,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,131079355,3559397941,131079355,3559397941,,,https://dataweb.usitc.gov/,False
1995-12,general_import,7106,"Silver, unwrought/semimanufactured/powder",component grams,237530692,3022627846,237530692,3022627846,,,https://dataweb.usitc.gov/,False
1995-12,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,8880806,150059863,8880806,150059863,,,https://dataweb.usitc.gov/,False
1995-12,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,167414765,3726812706,167414765,3726812706,,,https://dataweb.usitc.gov/,False
1996-01,general_import,7106,"Silver, unwrought/semimanufactured/powder",component grams,277794167,277794167,277794167,277794167,,,https://dataweb.usitc.gov/,False
1996-01,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,28538942,28538942,28538942,28538942,,,https://dataweb.usitc.gov/,False
1996-01,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,123019663,123019663,123019663,123019663,,,https://dataweb.usitc.gov/,False
1996-02,general_import,7106,"Silver, unwrought/semimanufactured/powder",component grams,252585488,530379655,252585488,530379655,,,https://dataweb.usitc.gov/,False
1996-02,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,10676820,39215762,10676820,39215762,,,https://dataweb.usitc.gov/,False
1996-02,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,65783407,188803070,65783407,188803070,,,https://dataweb.usitc.gov/,False
1996-03,general_import,7106,"Silver, unwrought/semimanufactured/powder",component grams,239548156,769927811,239548156,769927811,,,https://dataweb.usitc.gov/,False
1996-03,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,11107334,50323096,11107334,50323096,,,https://dataweb.usitc.gov/,False
1996-03,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,121912177,310715247,121912177,310715247,,,https://dataweb.usitc.gov/,False
1996-04,general_import,7106,"Silver, unwrought/semimanufactured/powder",component grams,228982248,998910059,228982248,998910059,,,https://dataweb.usitc.gov/,False
1996-04,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,12190152,62513248,12190152,62513248,,,https://dataweb.usitc.gov/,False
1996-04,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,264305709,575020956,264305709,575020956,,,https://dataweb.usitc.gov/,False
1996-05,general_import,7106,"Silver, unwrought/semimanufactured/powder",component grams,219840819,1218750878,219840819,1218750878,,,https://dataweb.usitc.gov/,False
1996-05,general_import,7106,"Silver, unwrought/semimanufactured/powder",grams,6897844,69411092,6897844,69411092,,,https://dataweb.usitc.gov/,False
1996-05,total_export,7106,"Silver, unwrought/semimanufactured/powder",grams,302792929,877813885,302792929,877813885,,,https://dataweb.usitc.gov/,False
1996-06,general_import,7106,"Silver, unwrought/semimanufactured/powder",component grams,205539289,1424290167,205539289,1424290167,,,https://dataweb.usitc.gov/,False
